Assist,Wins,Losses,Partidas,Wilson Score
Assault,11,17,28,0.23565451827580033
Barrage,6,10,16,0.18480982554752803
Bumper,6,7,13,0.23205754301488138
Charge,1,7,8,0.02241690886329618
Erase,2,2,4,0.15003570882017145
Free,46,34,80,0.465690919708387
Gravity,6,3,9,0.35419734749908977
Heavy,99,74,173,0.4977470713383861
Jaggy,18,24,42,0.2911742951914822
Massive,9,6,15,0.357464427565077
Round,6,6,12,0.2537781703934222
Slash,18,24,42,0.2911742951914822
Turn,6,10,16,0.18480982554752803
Vertical,0,3,3,0.0
Wheel,147,103,250,0.5261038843001785
