Blade,Ratchet,Bit,Win %,Wins,Losses,Partidas,Pts Ganados/Combate,Pts Cedidos/Combate,Wilson Score,Arquetipo victoria,Arquetipo derrota
Aero Pegasus,1-50,Rush,60.0,3,2,5,2.0,1.0,0.23071993220883702,⚪ Datos insuficientes,⚪ Datos insuficientes
Aero Pegasus,1-60,Kick,61.29,19,12,31,1.05,1.5,0.43823801141131963,🔵 Spin finish,🟠 Pierde por burst/over
Aero Pegasus,1-60,Low Rush,57.14,4,3,7,1.75,1.0,0.2504542304090258,⚪ Datos insuficientes,⚪ Datos insuficientes
Aero Pegasus,1-60,Point,90.91,10,1,11,1.7,1.0,0.6226353745137962,🟠 Burst / Over,🔵 Pierde por spin
Aero Pegasus,1-60,Rush,61.54,24,15,39,1.67,1.33,0.45898781310078474,🟠 Burst / Over,🔵 Pierde por spin
Aero Pegasus,1-70,Kick,68.42,13,6,19,1.85,2.0,0.4601001017506463,🟠 Burst / Over,🟠 Pierde por burst/over
Aero Pegasus,1-70,Level,60.0,3,2,5,2.33,1.0,0.23071993220883702,⚪ Datos insuficientes,⚪ Datos insuficientes
Aero Pegasus,1-70,Rush,40.0,2,3,5,1.5,2.0,0.11761823115925325,⚪ Datos insuficientes,⚪ Datos insuficientes
Aero Pegasus,1-80,Kick,50.0,7,7,14,1.86,1.29,0.2679886791947528,🟠 Burst / Over,🔵 Pierde por spin
Aero Pegasus,3-60,Jolt,66.67,2,1,3,1.5,1.0,0.20765495512648788,⚪ Datos insuficientes,⚪ Datos insuficientes
Aero Pegasus,3-60,Kick,56.52,13,10,23,1.69,1.3,0.36811049305016963,🟠 Burst / Over,🔵 Pierde por spin
Aero Pegasus,3-60,Level,66.67,2,1,3,2.0,1.0,0.20765495512648788,⚪ Datos insuficientes,⚪ Datos insuficientes
Aero Pegasus,3-60,Low Rush,65.0,13,7,20,1.46,1.43,0.43285051021946475,🔵 Spin finish,🔵 Pierde por spin
Aero Pegasus,3-60,Point,67.44,29,14,43,1.72,1.43,0.5251593250655096,🟠 Burst / Over,🔵 Pierde por spin
Aero Pegasus,3-60,Rush,69.23,9,4,13,2.0,1.75,0.4236888781333764,🟠 Burst / Over,🟠 Pierde por burst/over
Aero Pegasus,5-60,Kick,57.14,4,3,7,1.25,1.67,0.2504542304090258,⚪ Datos insuficientes,⚪ Datos insuficientes
Aero Pegasus,5-60,Rush,25.0,1,3,4,3.0,1.33,0.045586062644636216,⚪ Datos insuficientes,⚪ Datos insuficientes
Aero Pegasus,6-60,Kick,50.0,2,2,4,1.0,2.0,0.15003570882017145,⚪ Datos insuficientes,⚪ Datos insuficientes
Aero Pegasus,6-60,Rush,33.33,4,8,12,1.75,1.25,0.13811783989736134,🟠 Burst / Over,🔵 Pierde por spin
Aero Pegasus,7-60,Kick,70.0,7,3,10,1.71,1.67,0.3967732199795652,🟠 Burst / Over,🟠 Pierde por burst/over
Aero Pegasus,7-60,Level,54.17,13,11,24,1.85,1.82,0.3507455355310663,🟠 Burst / Over,🟠 Pierde por burst/over
Aero Pegasus,7-60,Low Rush,67.74,21,10,31,1.71,1.1,0.501406855599508,🟠 Burst / Over,🔵 Pierde por spin
Aero Pegasus,7-60,Point,56.25,9,7,16,1.67,1.14,0.3317819560677652,🟠 Burst / Over,🔵 Pierde por spin
Aero Pegasus,7-60,Rush,70.0,7,3,10,2.0,1.33,0.3967732199795652,🟠 Burst / Over,🔵 Pierde por spin
Aero Pegasus,9-60,Rush,57.14,4,3,7,2.0,2.0,0.2504542304090258,⚪ Datos insuficientes,⚪ Datos insuficientes
Antler Stag,0-60,Ball,87.5,7,1,8,1.29,1.0,0.5291051942301385,⚪ Datos insuficientes,⚪ Datos insuficientes
Bear Scratch,1-50,Low Rush,33.33,2,4,6,3.0,1.0,0.09676933255921684,⚪ Datos insuficientes,⚪ Datos insuficientes
Bear Scratch,1-60,Bumper,71.43,5,2,7,1.6,1.0,0.35892909014821267,⚪ Datos insuficientes,⚪ Datos insuficientes
Bite Croc,3-60,Low Flat,40.0,2,3,5,1.0,1.67,0.11761823115925325,⚪ Datos insuficientes,⚪ Datos insuficientes
Bite Croc,3-60,Rush,33.33,2,4,6,1.5,1.25,0.09676933255921684,⚪ Datos insuficientes,⚪ Datos insuficientes
Bite Croc,4-55,Under Needle,50.0,2,2,4,2.0,2.0,0.15003570882017145,⚪ Datos insuficientes,⚪ Datos insuficientes
Black Shell,1-60,Rush,47.37,9,10,19,1.89,1.1,0.2732950548744854,🟠 Burst / Over,🔵 Pierde por spin
Black Shell,4-60,Ball,25.0,1,3,4,3.0,2.0,0.045586062644636216,⚪ Datos insuficientes,⚪ Datos insuficientes
Black Shell,5-80,Taper,40.0,2,3,5,2.5,2.0,0.11761823115925325,⚪ Datos insuficientes,⚪ Datos insuficientes
Black Shell,6-60,Rush,75.0,3,1,4,1.67,1.0,0.30063605244263664,⚪ Datos insuficientes,⚪ Datos insuficientes
Brachio Whip Outer Wheel,9-60,Narrow,81.82,9,2,11,1.0,1.5,0.5230138624217553,🔵 Spin finish,🟠 Pierde por burst/over
Bucks Antler,3-60,Low Rush,50.0,1,1,2,1.0,2.0,0.09452865480086611,⚪ Datos insuficientes,⚪ Datos insuficientes
Bucks Antler Wheel,9-60,Kick,50.0,2,2,4,2.0,1.0,0.15003570882017145,⚪ Datos insuficientes,⚪ Datos insuficientes
Bullet Griffon,UX Expanded,Hexa,47.06,8,9,17,1.25,1.89,0.26164801196088106,🔵 Spin finish,🟠 Pierde por burst/over
Bullet Griffon,UX Expanded,Point,66.67,2,1,3,2.5,1.0,0.20765495512648788,⚪ Datos insuficientes,⚪ Datos insuficientes
Cerberus Flame,4-55,Kick,71.43,5,2,7,1.6,2.0,0.35892909014821267,⚪ Datos insuficientes,⚪ Datos insuficientes
Cerberus Flame Heavy,9-60,Hexa,57.14,8,6,14,1.0,1.33,0.3259026690286936,🔵 Spin finish,🔵 Pierde por spin
Cerberus Flame Massive,3-60,Kick,66.67,8,4,12,1.88,1.0,0.3906175873976139,🟠 Burst / Over,🔵 Pierde por spin
Cerberus Flame Massive,4-55,Kick,33.33,1,2,3,3.0,2.0,0.061490315276160515,⚪ Datos insuficientes,⚪ Datos insuficientes
Clock Mirage,4-55,Low Orb,50.0,6,6,12,0.83,1.0,0.2537781703934222,🔵 Spin finish,🔵 Pierde por spin
Clock Mirage,4-55,Under Needle,80.0,4,1,5,1.0,2.0,0.37552826411853885,⚪ Datos insuficientes,⚪ Datos insuficientes
Clock Mirage,7-55,Low Orb,71.43,5,2,7,1.2,2.0,0.35892909014821267,⚪ Datos insuficientes,⚪ Datos insuficientes
Clock Mirage,7-55,Under Needle,52.17,12,11,23,1.42,1.82,0.32962429864218495,🔵 Spin finish,🟠 Pierde por burst/over
Cobalt Dragoon,0-70,Elevate,0.0,0,1,1,0.0,2.0,0.0,⚪ Datos insuficientes,⚪ Datos insuficientes
Cobalt Dragoon,1-60,Cyclone,66.67,2,1,3,1.5,1.0,0.20765495512648788,⚪ Datos insuficientes,⚪ Datos insuficientes
Cobalt Dragoon,1-60,Elevate,66.18,45,23,68,1.49,1.87,0.5433701723652863,🔵 Spin finish,🟠 Pierde por burst/over
Cobalt Dragoon,1-60,Level,75.0,3,1,4,1.0,1.0,0.30063605244263664,⚪ Datos insuficientes,⚪ Datos insuficientes
Cobalt Dragoon,1-60,Low Flat,42.86,3,4,7,1.33,1.25,0.15821692226262685,⚪ Datos insuficientes,⚪ Datos insuficientes
Cobalt Dragoon,1-60,Point,66.67,4,2,6,1.25,1.0,0.2999883213415286,⚪ Datos insuficientes,⚪ Datos insuficientes
Cobalt Dragoon,1-70,Elevate,45.45,5,6,11,1.0,2.33,0.21270957543988048,🔵 Spin finish,🟠 Pierde por burst/over
Cobalt Dragoon,2-60,Cyclone,40.91,9,13,22,2.0,1.08,0.23255559668820378,🟠 Burst / Over,🔵 Pierde por spin
Cobalt Dragoon,3-60,Cyclone,50.0,3,3,6,0.0,0.0,0.1876128068994087,⚪ Datos insuficientes,⚪ Datos insuficientes
