Bit,Wins,Losses,Partidas,Wilson Score
Accel,9.0,1.0,10,0.5958436145024277
Ball,1017.0,525.0,1542,0.6355105997459256
Bound Spike,15.0,9.0,24,0.42709619037907065
Bumper,5.0,2.0,7,0.35892909014821267
Cyclone,81.0,79.0,160,0.4295471712509928
Disc Ball,18.0,12.0,30,0.42320052498273836
Dot,94.0,65.0,159,0.5135042648216288
Elevate,608.0,303.0,911,0.6361566567652666
Flat,95.0,126.0,221,0.36634131482341437
Free Ball,571.0,275.0,846,0.6426481097929985
Gear Ball,21.0,20.0,41,0.3648425931586519
Gear Flat,31.0,31.0,62,0.37922532216457727
Gear Needle,9.0,9.0,18,0.2903070395897999
Gear Point,8.0,20.0,28,0.15253815848329966
Gear Rush,1.0,0.0,1,0.20654329147389294
Glide,17.0,10.0,27,0.442289046234463
Hexa,854.0,424.0,1278,0.6419462419935751
High Needle,62.0,54.0,116,0.44406324129364416
High Taper,22.0,29.0,51,0.3050102809233431
Jolt,140.0,92.0,232,0.5393072506858869
Kick,252.0,191.0,443,0.5223340267930178
Level,292.0,222.0,514,0.5249211638397004
Low Flat,140.0,224.0,364,0.3360879723504388
Low Orb,243.0,149.0,392,0.5709006494670112
Low Rush,642.0,493.0,1135,0.5366279667854141
Merge,2.0,3.0,5,0.11761823115925325
Needle,43.0,52.0,95,0.35632609157265266
Orb,196.0,161.0,357,0.49715334829790964
Point,239.0,233.0,472,0.46138251765253113
Quake,1.0,5.0,6,0.030052585871730285
Rubber Accel,4.0,4.0,8,0.2152125268244419
Rush,796.0,661.0,1457,0.5206758684103487
Spike,2.0,7.0,9,0.0632237623122272
Taper,358.0,406.0,764,0.43344672123138756
Trans Kick,10.0,5.0,15,0.4171312515121298
Trans Point,2.0,5.0,7,0.08221716570901552
Under Flat,20.0,29.0,49,0.2821503460597105
Under Needle,151.0,102.0,253,0.5353803139822286
Unite,63.0,65.0,128,0.4070759798715471
Vortex,17.0,19.0,36,0.31985792907209337
Wall Ball,2.0,2.0,4,0.15003570882017145
Wedge,57.0,44.0,101,0.4670547024429458
Zap,0.0,3.0,3,0.0
