Blade,Wins,Losses,Partidas,Wilson Score
Aero Pegasus,225,141,366,0.563949380423855
Antler Stag,7,1,8,0.5291051942301385
Bear Scratch,7,6,13,0.29143432431832045
Bite Croc,6,9,15,0.19824228082594664
Black Shell,15,17,32,0.3086912990168234
Brachio Whip Outer,9,2,11,0.5230138624217553
Bucks Antler,3,3,6,0.1876128068994087
Bullet Griffon,10,10,20,0.2992949144298199
Cerberus Flame,22,14,36,0.4486417029674348
Clock Mirage,27,20,47,0.43281668771211546
Cobalt Dragoon,733,412,1145,0.6119482722605317
Cobalt Drake,18,26,44,0.27687643879006824
Crimson Garuda,6,14,20,0.14547527396899385
Dragoon Storm,10,3,13,0.49743126004873084
Dran Brave,12,14,26,0.28755582695234905
Dran Buster,130,159,289,0.39350273526881274
Dran Dagger,10,19,29,0.19940508749190486
Dran Strike,11,9,20,0.34208200830759966
Dran Sword,76,104,180,0.3524311397608573
Driger S,1,2,3,0.061490315276160515
Emperor Might,9,9,18,0.2903070395897999
Enlil Hurricane I,3,3,6,0.1876128068994087
Fort Hornet,5,2,7,0.35892909014821267
Fox Brush,2,10,12,0.046964147614822246
Ghost Circle,25,22,47,0.3923214192677079
Glory Valkyrie,25,18,43,0.4332831575571177
Golem Rock,73,50,123,0.5051369744531611
Heavens Ring,15,6,21,0.5004322617716241
Hells Chain,58,68,126,0.37575069319259424
Hells Hammer,81,110,191,0.35617062644530034
Hells Nether,2,1,3,0.20765495512648788
Hells Reaper,11,19,30,0.21873702204017684
Hells Scythe,351,241,592,0.5528533152862133
Hover Wyvern,43,41,84,0.4068499737205518
Impact Drake,59,75,134,0.3590717710708736
Knife Shinobi,2,3,5,0.11761823115925325
Knight Fortress Outer,9,3,12,0.4676896608793401
Knight Lance,12,18,30,0.24590394326083398
Knight Mail,115,101,216,0.46588226935314747
Knight Shield,74,72,146,0.4266220862711259
Leon Claw,13,15,28,0.2953130373965958
Leon Crest,42,57,99,0.331509474444057
Lightning L-Drago,12,19,31,0.23732875351271562
Mammoth Tusk,10,16,26,0.22428359511834425
Meteor Dragoon,99,76,175,0.49164359580921213
Mummy Curse,20,22,42,0.33359364475964953
Optimus Primal,3,3,6,0.1876128068994087
Optimus Prime,2,2,4,0.15003570882017145
Orochi Cluster,3,4,7,0.15821692226262685
Pegasus Blast,254,197,451,0.517073418285844
Perseus Dark,2,2,4,0.15003570882017145
Phoenix Feather,7,7,14,0.2679886791947528
Phoenix Flare,10,8,18,0.33716069428251627
Phoenix Rudder,13,12,25,0.3349821795314731
Phoenix Wing,823,659,1482,0.5299195594563102
Ptera Swing,6,10,16,0.18480982554752803
Rampart Aegis,5,2,7,0.35892909014821267
Rhino Horn,15,19,34,0.2888324021529675
Roar Tyranno,29,20,49,0.45247069972046267
Samurai Calibur,63,59,122,0.42857826089106577
Samurai Saber,50,51,101,0.3995249927451751
Scorpio Spear,141,80,221,0.5727894048526887
Shark Scale,670,362,1032,0.6196043860292615
Sharke Edge,81,119,200,0.33937656112442943
Shatter Horus,9,7,16,0.3317819560677652
Shelter Drake,5,10,15,0.15176100694691236
Shinobi Cutter,5,3,8,0.3057378545838018
Shinobi Shadow,7,13,20,0.1811895478679446
Silver Wolf,435,212,647,0.6352422209932063
Sol Eclipse,10,7,17,0.3600507438551554
Sphinx Cowl,4,8,12,0.13811783989736134
Starscream,1,2,3,0.061490315276160515
Steel Samurai,1,1,2,0.09452865480086611
Stun Medusa,1,5,6,0.030052585871730285
Talon Ptera,6,12,18,0.16278554363662856
Tusk Mammoth,50,59,109,0.36817003782937135
Tyranno Beat,185,160,345,0.48349919687683984
Tyranno Roar,6,3,9,0.35419734749908977
Unicorn Sting,95,81,176,0.46607270252223565
Viper Tail,54,93,147,0.29371749239857664
Weiss Tiger,4,4,8,0.2152125268244419
Whale Wave,86,113,199,0.365260417093433
Wizard Arc,16,20,36,0.29541029876543135
Wizard Arrow,94,71,165,0.4934106985631072
Wizard Rod,1634,707,2341,0.6790813435423458
Wolf Hunt,3,4,7,0.15821692226262685
Wyvern Gale,13,9,22,0.3873447738289381
Wyvern Hover,194,136,330,0.5340568523224736
Yell Kong,2,3,5,0.11761823115925325
