Blade,Ratchet,Bit,Win %,Wins,Losses,Partidas,Eficiencia,Pts Ganados/Combate,Pts Cedidos/Combate,Wilson Score
Aero Pegasus,1-60,Kick,65.0,13.0,7.0,20,99.0,1.0,1.0,0.4328505102194647
Aero Pegasus,1-60,Low Rush,57.1,4.0,3.0,7,76.0,1.75,1.0,0.2504542304090258
Aero Pegasus,1-60,Point,90.9,10.0,1.0,11,142.0,1.7,1.0,0.6226353745137962
Aero Pegasus,1-60,Rush,60.0,18.0,12.0,30,108.0,1.56,1.42,0.4232005249827383
Aero Pegasus,1-70,Kick,72.7,8.0,3.0,11,81.0,1.88,2.33,0.4343497069897538
Aero Pegasus,3-60,Kick,56.5,13.0,10.0,23,102.0,1.69,1.3,0.3681104930501696
Aero Pegasus,3-60,Level,66.7,2.0,1.0,3,62.0,2.0,1.0,0.2076549551264878
Aero Pegasus,3-60,Low Rush,65.0,13.0,7.0,20,100.0,1.46,1.43,0.4328505102194647
Aero Pegasus,3-60,Point,67.4,29.0,14.0,43,140.0,1.72,1.43,0.5251593250655096
Aero Pegasus,3-60,Rush,69.2,9.0,4.0,13,97.0,2.0,1.75,0.4236888781333764
Aero Pegasus,5-60,Kick,57.1,4.0,3.0,7,51.0,1.25,1.67,0.2504542304090258
Aero Pegasus,5-60,Rush,25.0,1.0,3.0,4,28.0,3.0,1.33,0.0455860626446362
Aero Pegasus,6-60,Kick,50.0,2.0,2.0,4,27.0,1.0,2.0,0.1500357088201714
Aero Pegasus,6-60,Rush,33.3,4.0,8.0,12,50.0,1.75,1.25,0.1381178398973613
Aero Pegasus,7-60,Level,54.2,13.0,11.0,24,88.0,1.85,1.82,0.3507455355310663
Aero Pegasus,7-60,Low Rush,67.7,21.0,10.0,31,143.0,1.71,1.1,0.501406855599508
Aero Pegasus,7-60,Point,56.3,9.0,7.0,16,95.0,1.67,1.14,0.3317819560677652
Aero Pegasus,7-60,Rush,70.0,7.0,3.0,10,101.0,2.0,1.33,0.3967732199795652
Aero Pegasus,9-60,Rush,57.1,4.0,3.0,7,59.0,2.0,2.0,0.2504542304090258
Antler Stag,0-60,Ball,87.5,7.0,1.0,8,108.0,1.29,1.0,0.5291051942301385
Bear Scratch,1-60,Bumper,71.4,5.0,2.0,7,91.0,1.6,1.0,0.3589290901482126
Bite Croc,3-60,Low Flat,40.0,2.0,3.0,5,27.0,1.0,1.67,0.1176182311592532
Bite Croc,3-60,Rush,33.3,2.0,4.0,6,35.0,1.5,1.25,0.0967693325592168
Bite Croc,4-55,Under Needle,50.0,2.0,2.0,4,40.0,2.0,2.0,0.1500357088201714
Black Shell,1-60,Rush,47.4,9.0,10.0,19,90.0,1.89,1.1,0.2732950548744854
Black Shell,4-60,Ball,25.0,1.0,3.0,4,24.0,3.0,2.0,0.0455860626446362
Black Shell,5-80,Taper,40.0,2.0,3.0,5,40.0,2.5,2.0,0.1176182311592532
Black Shell,6-60,Rush,75.0,3.0,1.0,4,75.0,1.67,1.0,0.3006360524426366
Cerberus Flame,4-55,Kick,71.4,5.0,2.0,7,66.0,1.6,2.0,0.3589290901482126
Cerberus Flame Heavy,9-60,Hexa,0.0,0.0,1.0,1,0.0,0.0,3.0,0.0
Cerberus Flame Massive,3-60,Kick,66.7,8.0,4.0,12,112.0,1.88,1.0,0.3906175873976139
Cerberus Flame Massive,4-55,Kick,33.3,1.0,2.0,3,28.0,3.0,2.0,0.0614903152761605
Clock Mirage,4-55,Low Orb,50.0,6.0,6.0,12,58.0,0.83,1.0,0.2537781703934222
Clock Mirage,4-55,Under Needle,80.0,4.0,1.0,5,48.0,1.0,2.0,0.3755282641185388
Clock Mirage,7-55,Low Orb,66.7,4.0,2.0,6,50.0,1.25,2.0,0.2999883213415286
Clock Mirage,7-55,Under Needle,55.6,5.0,4.0,9,70.0,1.8,1.5,0.2666473457440296
Cobalt Dragoon,0-70,Elevate,0.0,0.0,1.0,1,0.0,0.0,2.0,0.0
Cobalt Dragoon,1-60,Cyclone,66.7,2.0,1.0,3,55.0,1.5,1.0,0.2076549551264878
Cobalt Dragoon,1-60,Elevate,65.0,39.0,21.0,60,121.0,1.46,1.76,0.5236238380947751
Cobalt Dragoon,1-60,Level,75.0,3.0,1.0,4,60.0,1.0,1.0,0.3006360524426366
Cobalt Dragoon,1-60,Low Flat,42.9,3.0,4.0,7,46.0,1.33,1.25,0.1582169222626268
Cobalt Dragoon,1-60,Point,66.7,4.0,2.0,6,72.0,1.25,1.0,0.2999883213415286
Cobalt Dragoon,1-70,Elevate,45.5,5.0,6.0,11,34.0,1.0,2.33,0.2127095754398804
Cobalt Dragoon,2-60,Cyclone,40.9,9.0,13.0,22,83.0,2.0,1.08,0.2325555966882037
Cobalt Dragoon,3-60,Cyclone,50.0,3.0,3.0,6,0.0,0.0,0.0,0.1876128068994087
Cobalt Dragoon,3-60,Point,33.3,1.0,2.0,3,0.0,0.0,0.0,0.0614903152761605
Cobalt Dragoon,4-55,Elevate,73.35,12.0,4.0,16,78.5,1.19,1.25,0.395072584031126
Cobalt Dragoon,4-55,Level,50.0,1.0,1.0,2,14.0,1.0,3.0,0.0945286548008661
Cobalt Dragoon,4-60,Cyclone,62.9,22.0,13.0,35,104.0,1.64,1.92,0.4633664048802107
Cobalt Dragoon,4-60,Elevate,65.7,23.0,12.0,35,97.0,0.87,1.25,0.4915164687273671
Cobalt Dragoon,4-60,Glide,61.5,8.0,5.0,13,84.0,1.5,1.4,0.3552248097226855
Cobalt Dragoon,4-60,Level,66.7,2.0,1.0,3,46.0,1.0,1.0,0.2076549551264878
Cobalt Dragoon,4-60,Low Flat,44.4,4.0,5.0,9,73.0,2.5,1.0,0.188775429471914
Cobalt Dragoon,4-60,Point,28.6,2.0,5.0,7,40.0,2.0,1.0,0.0822171657090155
Cobalt Dragoon,4-80,Elevate,100.0,4.0,0.0,4,161.0,1.25,0.0,0.5100999795960008
Cobalt Dragoon,5-60,Cyclone,66.7,4.0,2.0,6,78.0,2.25,1.5,0.2999883213415286
Cobalt Dragoon,5-60,Elevate,63.55,339.0,171.0,510,144.5,1.4649999999999999,1.7650000000000001,0.5407640054664998
Cobalt Dragoon,5-60,Gear Rush,100.0,1.0,0.0,1,69.0,2.0,0.0,0.2065432914738929
Cobalt Dragoon,5-60,Level,100.0,2.0,0.0,2,110.0,1.0,0.0,0.3423719528896193
Cobalt Dragoon,5-60,Point,55.6,5.0,4.0,9,79.0,1.6,1.0,0.2666473457440296
Cobalt Dragoon,5-70,Elevate,77.1,37.0,11.0,48,114.0,1.16,1.91,0.6346046409154885
Cobalt Dragoon,5-70,Low Flat,60.0,3.0,2.0,5,67.0,1.67,1.0,0.230719932208837
Cobalt Dragoon,5-70,Point,40.0,6.0,9.0,15,54.0,1.5,1.56,0.1982422808259466
Cobalt Dragoon,5-80,Elevate,36.4,4.0,7.0,11,32.0,1.0,1.86,0.1516622361413138
Cobalt Dragoon,6-60,Elevate,61.5,8.0,5.0,13,82.0,1.63,1.6,0.3552248097226855
Cobalt Dragoon,6-60,Point,50.0,2.0,2.0,4,40.0,1.5,1.5,0.1500357088201714
Cobalt Dragoon,6-60,Rush,50.0,6.0,6.0,12,83.0,1.83,1.0,0.2537781703934222
Cobalt Dragoon,7-60,Cyclone,57.7,15.0,11.0,26,110.0,2.0,1.45,0.3894829692111983
Cobalt Dragoon,7-60,Elevate,56.9,29.0,22.0,51,97.0,1.28,1.68,0.4326506123505808
Cobalt Dragoon,7-60,Glide,71.4,5.0,2.0,7,77.0,1.6,1.5,0.3589290901482126
Cobalt Dragoon,7-60,Level,66.7,8.0,4.0,12,85.0,1.5,1.5,0.3906175873976139
Cobalt Dragoon,7-60,Point,63.2,24.0,14.0,38,102.0,1.63,2.07,0.4728367282426011
Cobalt Dragoon,7-70,Elevate,70.8,17.0,7.0,24,92.0,1.35,2.0,0.5083193634129031
Cobalt Dragoon,9-60,Cyclone,20.0,1.0,4.0,5,18.0,1.0,1.0,0.0362231609697874
Cobalt Dragoon,9-60,Elevate,60.7,17.0,11.0,28,93.0,1.29,1.55,0.4240872603490629
Cobalt Dragoon,9-60,Point,20.0,1.0,4.0,5,14.0,1.0,1.5,0.0362231609697874
Cobalt Dragoon,9-70,Elevate,86.1,31.0,5.0,36,122.0,1.42,2.2,0.7134014871960681
Cobalt Drake,1-60,Rush,30.0,3.0,7.0,10,46.0,2.0,1.14,0.1077892874862118
Cobalt Drake,1-70,Kick,37.5,3.0,5.0,8,51.0,2.0,1.2,0.136841759461521
Cobalt Drake,5-60,Rush,33.3,2.0,4.0,6,26.0,1.5,2.25,0.0967693325592168
Cobalt Drake,7-60,Level,50.0,1.0,1.0,2,27.0,1.0,1.0,0.0945286548008661
Cobalt Drake,9-60,Elevate,66.7,6.0,3.0,9,61.0,1.33,2.0,0.3541973474990897
Cobalt Drake,9-60,Jolt,33.3,2.0,4.0,6,24.0,1.0,1.75,0.0967693325592168
Cobalt Drake,9-60,Rush,33.3,1.0,2.0,3,18.0,2.0,3.0,0.0614903152761605
Crimson Garuda,4-60,Trans Point,0.0,0.0,3.0,3,0.0,0.0,1.67,0.0
Crimson Garuda,6-80,Rush,16.7,1.0,5.0,6,16.0,2.0,2.0,0.0300525858717302
Crimson Garuda,7-60,Flat,40.0,2.0,3.0,5,36.0,1.0,1.0,0.1176182311592532
Dragoon Storm,9-60,Elevate,76.9,10.0,3.0,13,87.0,1.5,2.0,0.4974312600487308
Dran Brave Assault,3-60,Low Rush,40.0,2.0,3.0,5,34.0,1.5,1.67,0.1176182311592532
Dran Brave Heavy,5-60,Flat,33.3,1.0,2.0,3,31.0,3.0,1.5,0.0614903152761605
Dran Brave Slash,1-60,Low Rush,42.9,3.0,4.0,7,51.0,2.67,2.0,0.1582169222626268
Dran Brave Slash,1-60,Rush,66.7,2.0,1.0,3,62.0,2.0,1.0,0.2076549551264878
Dran Brave Slash,6-60,Vortex,50.0,2.0,2.0,4,48.0,1.5,1.0,0.1500357088201714
Dran Brave Slash,9-60,Low Rush,50.0,2.0,2.0,4,40.0,1.5,1.5,0.1500357088201714
Dran Buster,1-60,Accel,100.0,1.0,0.0,1,69.0,2.0,0.0,0.2065432914738929
Dran Buster,1-60,Flat,40.0,4.0,6.0,10,58.0,1.5,1.0,0.1681775812035096
Dran Buster,1-60,Gear Point,28.6,2.0,5.0,7,33.0,2.0,1.6,0.0822171657090155
Dran Buster,1-60,Kick,50.0,3.0,3.0,6,44.0,1.67,2.0,0.1876128068994087
Dran Buster,1-60,Level,100.0,1.0,0.0,1,69.0,1.0,0.0,0.2065432914738929
Dran Buster,1-60,Low Flat,35.0,21.0,39.0,60,85.0,1.95,1.33,0.2416760172381548
Dran Buster,1-60,Low Rush,33.3,5.0,10.0,15,56.0,2.0,1.3,0.1517610069469123
Dran Buster,1-60,Point,47.6,10.0,11.0,21,75.0,1.8,1.73,0.2834371229676294
Dran Buster,1-60,Rush,40.0,4.0,6.0,10,55.0,2.0,1.5,0.1681775812035096
Dran Buster,1-60,Under Flat,50.0,5.0,5.0,10,67.0,1.8,1.4,0.2365895936154873
Dran Buster,1-60,Unite,58.3,7.0,5.0,12,81.0,1.43,1.2,0.3195073356553728
Dran Buster,3-60,Flat,0.0,0.0,3.0,3,0.0,0.0,1.67,0.0
Dran Buster,3-60,Low Flat,50.0,1.0,1.0,2,27.0,2.0,2.0,0.0945286548008661
Dran Buster,3-60,Low Rush,50.0,3.0,3.0,6,49.0,1.67,1.67,0.1876128068994087
Dran Buster,3-60,Rush,50.0,3.0,3.0,6,57.0,2.33,1.67,0.1876128068994087
Dran Buster,3-60,Taper,25.0,1.0,3.0,4,20.0,1.0,1.0,0.0455860626446362
Dran Buster,3-70,Unite,75.0,3.0,1.0,4,88.0,2.67,1.0,0.3006360524426366
Dran Buster,4-55,Low Flat,40.0,2.0,3.0,5,51.0,2.5,1.0,0.1176182311592532
Dran Buster,4-60,Flat,44.4,8.0,10.0,18,77.0,1.88,1.3,0.2455923110138912
Dran Buster,5-60,Low Flat,42.1,8.0,11.0,19,76.0,2.38,1.55,0.2314162039203038
Dran Buster,7-60,Flat,40.0,2.0,3.0,5,33.0,2.0,2.33,0.1176182311592532
Dran Buster,7-60,Low Flat,50.0,5.0,5.0,10,56.0,1.6,1.8,0.2365895936154873
Dran Buster,7-60,Low Rush,45.25,15.0,13.0,28,70.5,1.925,1.45,0.2455000619320153
Dran Buster,7-60,Rush,100.0,3.0,0.0,3,139.0,2.33,0.0,0.4384939195509822
Dran Buster,7-70,Low Rush,57.1,8.0,6.0,14,86.0,1.88,1.5,0.3259026690286936
Dran Buster,9-60,Unite,50.0,3.0,3.0,6,53.0,2.0,1.67,0.1876128068994087
Dran Dagger,3-60,Cyclone,0.0,0.0,2.0,2,0.0,0.0,1.0,0.0
Dran Dagger,3-60,Gear Flat,100.0,1.0,0.0,1,69.0,1.0,0.0,0.2065432914738929
