Ratchet,Wins,Losses,Partidas,Wilson Score
0-60,17.0,9.0,26,0.46220229009632996
0-70,8.0,6.0,14,0.3259026690286936
0-80,18.0,10.0,28,0.4582997758222724
1-50,42.0,32.0,74,0.45412539093091314
1-60,1435.0,1009.0,2444,0.5675104580822833
1-70,356.0,201.0,557,0.5984268112798468
1-80,43.0,31.0,74,0.4674007862451828
2-60,31.0,42.0,73,0.31784011426782005
2-70,11.0,13.0,24,0.27891058351681425
3-60,1339.0,972.0,2311,0.5591603344296975
3-70,80.0,73.0,153,0.4441434424419078
3-80,69.0,64.0,133,0.4345513610645472
3-85,3.0,1.0,4,0.30063605244263664
4-50,40.0,15.0,55,0.5976755051758511
4-55,36.0,27.0,63,0.4486139508259402
4-60,170.0,187.0,357,0.42491159278880264
4-70,11.0,8.0,19,0.3627555146516011
4-80,15.0,25.0,40,0.24222773535791722
5-60,832.0,676.0,1508,0.5265233859633288
5-70,82.0,59.0,141,0.49902955087404866
5-80,34.0,39.0,73,0.35591852872281665
6-60,54.0,54.0,108,0.407333152227769
6-80,17.0,13.0,30,0.39197009545408734
7-55,23.0,17.0,40,0.4219480043605999
7-60,377.0,323.0,700,0.5015310838790197
7-70,75.0,60.0,135,0.47134917126965303
7-80,1.0,3.0,4,0.045586062644636216
9-60,2011.0,1202.0,3213,0.6090217595978045
9-70,147.0,86.0,233,0.5672832982703753
9-80,51.0,46.0,97,0.4273259458893044
